name,ONS_code,county,region,country,winner_2019,winner_2024,MP_name,winner_votes,percentage_of_total_votes,margin_of_total_votes,Labour,Conservative,Reform UK,Liberal Democrat,Green,Scottish National Party,Plaid Cymru,Sinn Fein,Democratic Unionist Party,Alliance Party,Ulster Unionist Party,Social Democratic and Labour Party,Traditional Unionist Voice,Independent,Other,total_votes,turnout
Croydon South,E14001187,London,London,England,Conservative,Conservative,Chris Philp,19757,0.4,0.0468,17444,19757,4149,4384,2859,0,0,0,0,0,0,0,0,0,785,49378,0.66
Croydon West,E14001188,London,London,England,Labour,Labour,Sarah Jones,20612,0.541,0.373,20612,6386,2148,3667,3851,0,0,0,0,0,0,0,0,0,1458,38122,0.489
Dagenham and Rainham,E14001189,London,London,England,Labour,Labour,Margaret Mullane,16571,0.426,0.185,16571,6926,9398,1033,4184,0,0,0,0,0,0,0,0,0,755,38867,0.508
Darlington,E14001190,Durham,North East,England,Conservative,Labour,Lola McEvoy,16621,0.392,0.0542,16621,14323,6852,1735,2847,0,0,0,0,0,0,0,0,0,0,42378,0.6
Dartford,E14001191,Kent,South East,England,Conservative,Labour,Jim Dickson,15392,0.346,0.0268,15392,14200,9523,2184,3189,0,0,0,0,0,0,0,0,0,0,44488,0.59
Daventry,E14001192,Northamptonshire,East Midlands,England,Conservative,Conservative,Stuart Andrew,17872,0.337,0.0567,14860,17872,10636,6755,2959,0,0,0,0,0,0,0,0,0,0,53082,0.659
Derby North,E14001193,Derbyshire,East Midlands,England,Conservative,Labour,Catherine Atkinson,18619,0.455,0.218,18619,9704,7488,1822,3286,0,0,0,0,0,0,0,0,0,0,40919,0.559
Derby South,E14001194,Derbyshire,East Midlands,England,Labour,Labour,Baggy Shanker,14503,0.388,0.161,14503,5192,8501,1807,1899,0,0,0,0,0,0,0,0,0,5497,37389,0.512
Derbyshire Dales,E14001195,Derbyshire,East Midlands,England,Conservative,Labour,John Whitby,17759,0.346,0.00683,17759,17409,7728,4860,2830,0,0,0,0,0,0,0,0,0,686,51272,0.699
Dewsbury and Batley,E14001196,West Yorkshire,Yorkshire and the Humber,England,Labour,Independent,Iqbal Mohamed,15641,0.411,0.182,8707,4182,6152,1340,2048,0,0,0,0,0,0,0,0,0,15641,38070,0.531
Didcot and Wantage,E14001197,Oxfordshire,South East,England,Conservative,Liberal Democrat,Olly Glover,21793,0.398,0.114,8045,15560,6400,21793,2693,0,0,0,0,0,0,0,0,0,242,54733,0.678
